Catalogue Entry,Familiar Name,Alternative Entries,Type,Constellation,Right Ascension,Declination,Magnitude,Size,Surface Brightness,Rise time over 10º,Transit Time,Set time below 10º,Maximum Elevation
NGC 2257,,ESO 87-SC24,Globular cluster,Dorado,"06h 30' 12""","-64º 18' 60""",13.50,55',30.83,1:13pm,10:48pm,8:23am,57º
NGC 2239,,,Bright nebula,Monoceros,"06h 31' 54""","04º 56' 60""",4.80,24',20.33,5:50pm,10:49pm,3:49am,53º
NGC 2264,Cone Nebula,Sh 2-273,Diffuse nebula,Monoceros,"06h 41' 00""","09º 53' 60""",3.90,20',19.03,6:13pm,10:59pm,3:44am,48º
NGC 2280,,"ESO 427-2, AM 0642-273, IRAS 06428-2735, MCG -5-16-20, PGC 19531, UGCA 131",Galaxy,Canis Major,"06h 44' 49""","-27º 38' 20""",10.30,6.3' x 3',22.12,4:42pm,11:02pm,5:23am,86º
NGC 2298,,"ESO 366-SC22, GCL 11",Globular cluster,Puppis,"06h 48' 59""","-36º 00' 17""",9.30,5',21.42,4:23pm,11:07pm,5:51am,86º
NGC 2327,,Ced 89B,Bright nebula,Canis Major,"07h 04' 06""","-11º 18' 60""",0.00,20',0.00,5:42pm,11:22pm,5:01am,70º
NGC 2359,Thor's Helmet,"Sh 2-298, LBN 1041",Diffuse nebula,Canis Major,"07h 18' 30""","-13º 14' 00""",0.00,10' x 5',0.00,5:52pm,11:36pm,5:20am,72º
NGC 2442,,"NGC 2443, ESO 59-8, AM 0736-692, IRAS 07367-6924, PGC 21373",Galaxy,Volans,"07h 36' 24""","-69º 31' 51""",10.40,6' x 5',22.72,-,11:54pm,-,52º
NGC 2467,,,Bright nebula,Puppis,"07h 52' 30""","-26º 25' 60""",7.10,15',21.61,5:53pm,0:10am,6:27am,85º
NGC 2579,,,Bright nebula,Puppis,"08h 20' 54""","-36º 13' 00""",7.50,10',21.13,5:54pm,0:38am,7:23am,85º
NGC 2613,,"ESO 495-18, AM 0831-224, CGMW 2-3822, IRAS 08311-2248, MCG -4-21-3, PGC 23997, UGCA 141",Galaxy,Pyxis,"08h 33' 23""","-22º 58' 22""",10.30,6.5' x 1.4',21.33,6:43pm,0:51am,6:59am,81º
NGC 2626,,ESO 313-N*4,Bright nebula,Vela,"08h 35' 30""","-40º 40' 00""",0.00,5',0.00,5:54pm,0:53am,7:52am,81º
NGC 2736,The Pencil Nebula,RCW 37,Bright nebula,Vela,"09h 00' 24""","-45º 54' 00""",0.00,30' x 7',0.00,5:59pm,1:18am,8:37am,76º
