Catalogue Entry,Familiar Name,Alternative Entries,Type,Constellation,Right Ascension,Declination,Magnitude,Size,Surface Brightness,Rise time over 10º,Transit Time,Set time below 10º,Maximum Elevation
M 83,Southern Pinwheel Galaxy,"NGC 5236, ESO 444-81, IRAS 13342-2933, MCG -5-32-50, PGC 48082, UGCA 366",Galaxy,Hydra,"13h 37' 00""","-29º 52' 02""",7.50,12.9' x 11.5',21.56,11:32pm,6:03am,0:35pm,86º
M 33,Triangulum Galaxy,"NGC 598, CGCG 502-110, MCG 5-4-69, PGC 5818, UGC 1117",Galaxy,Triangulum,"01h 33' 52""","30º 39' 29""",5.70,1.1º x 41.6',22.97,2:41pm,6:02pm,9:23pm,26º
M 74,,"NGC 628, CGCG 460-14, IRAS 01340+1532, MCG 3-5-11, PGC 5974, UGC 1149",Galaxy,Pisces,"01h 36' 42""","15º 46' 60""",9.40,10.5' x 9.5',23.03,1:41pm,6:05pm,10:29pm,41º
M 77,,"NGC 1068, 3C 71, Arp 37, CGCG 388-98, IRAS 02401-0013, KUG 0240-002, MCG 0-7-83, PGC 10266, UGC 2188",Galaxy,Cetus,"02h 42' 41""","-00º 00' 46""",8.90,7.1' x 6',21.60,2:00pm,7:11pm,0:22am,56º
M 45,Pleiades,Mel 22,Bright nebula,Taurus,"03h 46' 60""","24º 07' 00""",1.20,1.7º,19.83,4:23pm,8:15pm,0:07am,32º
NGC 1433,,"ESO 249-14, AM 0340-472, IRAS 03404-4722, PGC 13586",Galaxy,Horologium,"03h 42' 01""","-47º 13' 19""",9.90,6.5' x 5.9',22.49,0:36pm,8:00pm,3:25am,74º
NGC 1425,,"ESO 419-4, IRAS 03401-3002, MCG -5-9-23, PGC 13602, UGCA 84",Galaxy,Fornax,"03h 42' 11""","-29º 53' 39""",10.60,5.8' x 2.5',22.13,1:34pm,8:00pm,2:27am,88º
NGC 1448,,"NGC 1457, ESO 249-16, AM 0342-444, MCG -7-8-5, PGC 13727",Galaxy,Horologium,"03h 44' 31""","-44º 38' 45""",10.70,7.6' x 1.7',22.11,0:49pm,8:03pm,3:16am,77º
NGC 1512,,"ESO 250-4, AM 0402-433, IRAS 04022-4329, MCG -7-9-7, PGC 14391",Galaxy,Horologium,"04h 03' 54""","-43º 20' 56""",10.30,8.9' x 5.6',23.17,1:13pm,8:22pm,3:31am,78º
NGC 1515,,"ESO 156-36, AM 0402-541, IRAS 04028-5414, PGC 14397",Galaxy,Dorado,"04h 04' 02""","-54º 05' 60""",11.20,5.4' x 1.3',21.94,0:22pm,8:22pm,4:22am,68º
NGC 1532,,"ESO 359-27, AM 0410-325, AM 0410-330, IRAS 04102-3259, MCG -5-11-2, PGC 14638",Galaxy,Eridanus,"04h 12' 04""","-32º 52' 23""",9.90,11.6' x 3.4',22.52,1:55pm,8:30pm,3:05am,89º
NGC 1566,,"ESO 157-20, IRAS 04189-5503, PGC 14897",Galaxy,Dorado,"04h 20' 01""","-54º 56' 14""",9.70,8.2' x 6.5',22.65,0:33pm,8:38pm,4:43am,67º
